Date,state,Death,type,,,,,,,
11/7/2012,Borno,1,Boko Haram,,,,,,,
11/10/2012,Borno,0,Boko Haram,,,,,,,
11/10/2012,Borno,1,Boko Haram,,,,,,,
11/10/2012,Borno,1,Boko Haram,,,,,,,
11/12/2012,Borno,1,Boko Haram,,,,,,,
11/13/2012,Borno,1,Boko Haram,,,,,,,
11/14/2012,Borno,1,Boko Haram,,,,,,,
11/15/2012,Borno,3,Boko Haram,,,,,,,
11/18/2012,Borno,1,Boko Haram,,,,,,,
11/22/2012,Borno,12,Boko Haram,,,,,,,
11/23/2012,Borno,20,Boko Haram,,,,,,,
11/23/2012,Borno,1,Boko Haram,,,,,,,
11/23/2012,Borno,1,Boko Haram,,,,,,,
11/23/2012,Borno,1,Boko Haram,,,,,,,
11/23/2012,Borno,1,Boko Haram,,,,,,,
11/26/2012,Borno,1,Boko Haram,,,,,,,
11/27/2012,Borno,5,Boko Haram,,,,,,,
11/28/2012,Borno,4,Boko Haram,,,,,,,
12/1/2012,Borno,5,Boko Haram,,,,,,,
12/2/2012,Borno,10,Boko Haram,,,,,,,
12/2/2012,Borno,2,Boko Haram,,,,,,,
12/3/2012,Borno,5,Boko Haram,,,,,,,
12/4/2012,Borno,11,Boko Haram,,,,,,,
12/10/2012,Borno,2,Boko Haram,,,,,,,
12/10/2012,Borno,1,Boko Haram,,,,,,,
12/10/2012,Borno,1,Boko Haram,,,,,,,
12/12/2012,Borno,5,Boko Haram,,,,,,,
12/14/2012,Borno,1,Boko Haram,,,,,,,
12/24/2012,Borno,6,Boko Haram,,,,,,,
12/28/2012,Borno,15,Boko Haram,,,,,,,
12/30/2012,Borno,0,Boko Haram,,,,,,,
12/30/2012,Borno,15,Boko Haram,,,,,,,
1/2/2013,Borno,7,Boko Haram,,,,,,,
1/7/2013,Borno,2,Boko Haram,,,,,,,
1/21/2013,Borno,18,Boko Haram,,,,,,,
1/25/2013,Borno,1,Boko Haram,,,,,,,
1/27/2013,Borno,8,Boko Haram,,,,,,,
2/4/2013,Borno,10,Boko Haram,,,,,,,
2/5/2013,Borno,6,Boko Haram,,,,,,,
2/11/2013,Borno,1,Boko Haram,,,,,,,
2/12/2013,Borno,3,Boko Haram,,,,,,,
2/12/2013,Borno,1,Boko Haram,,,,,,,
2/12/2013,Borno,1,Boko Haram,,,,,,,
2/18/2013,Borno,2,Boko Haram,,,,,,,
2/19/2013,Borno,1,Boko Haram,,,,,,,
2/20/2013,Borno,3,Boko Haram,,,,,,,
2/20/2013,Borno,3,Boko Haram,,,,,,,
2/21/2013,Borno,3,Boko Haram,,,,,,,
2/23/2013,Borno,17,Boko Haram,,,,,,,
2/28/2013,Borno,5,Boko Haram,,,,,,,
2/28/2013,Borno,6,Boko Haram,,,,,,,
3/3/2013,Borno,2,Boko Haram,,,,,,,
3/4/2013,Borno,8,Boko Haram,,,,,,,
3/18/2013,Borno,1,Boko Haram,,,,,,,
3/18/2013,Borno,3,Boko Haram,,,,,,,
3/19/2013,Borno,3,Boko Haram,,,,,,,
3/19/2013,Borno,31,Boko Haram,,,,,,,
3/20/2013,Borno,1,Boko Haram,,,,,,,
3/21/2013,Borno,3,Boko Haram,,,,,,,
3/23/2013,Borno,3,Boko Haram,,,,,,,
3/30/2013,Borno,1,Boko Haram,,,,,,,
4/7/2013,Borno,,Boko Haram,,,,,,,
4/8/2013,Borno,4,Boko Haram,,,,,,,
4/8/2013,Borno,1,Boko Haram,,,,,,,
4/9/2013,Borno,4,Boko Haram,,,,,,,
4/13/2013,Borno,3,Boko Haram,,,,,,,
4/14/2013,Borno,1,Boko Haram,,,,,,,
4/14/2013,Borno,1,Boko Haram,,,,,,,
4/17/2013,Borno,,Boko Haram,,,,,,,
4/19/2013,Borno,228,Boko Haram,,,,,,,
4/25/2013,Borno,19,Boko Haram,,,,,,,
4/30/2013,Borno,1,Boko Haram,,,,,,,
5/2/2013,Borno,,Boko Haram,,,,,,,
5/3/2013,Borno,,Boko Haram,,,,,,,
5/4/2013,Borno,4,Boko Haram,,,,,,,
5/7/2013,Borno,55,Boko Haram,,,,,,,
5/12/2013,Borno,2,Boko Haram,,,,,,,
5/14/2013,Borno,1,Boko Haram,,,,,,,
5/18/2013,Borno,27,Boko Haram,,,,,,,
5/23/2013,Borno,3,Boko Haram,,,,,,,
5/27/2013,Borno,4,Boko Haram,,,,,,,
6/7/2013,Borno,13,Boko Haram,,,,,,,
6/15/2013,Borno,1,Boko Haram,,,,,,,
6/17/2013,Borno,13,Boko Haram,,,,,,,
6/18/2013,Borno,9,Boko Haram,,,,,,,
6/28/2013,Borno,15,Boko Haram,,,,,,,
6/30/2013,Borno,1,Boko Haram,,,,,,,
7/1/2013,Borno,10,Boko Haram,,,,,,,
7/3/2013,Borno,3,Boko Haram,,,,,,,
7/26/2013,Borno,23,Boko Haram,,,,,,,
7/27/2013,Borno,20,Boko Haram,,,,,,,
7/31/2013,Borno,8,Boko Haram,,,,,,,
8/4/2013,Borno,25,Boko Haram,,,,,,,
8/4/2013,Borno,27,Boko Haram,,,,,,,
8/5/2013,Borno,20,Boko Haram,,,,,,,
8/10/2013,Borno,12,Boko Haram,,,,,,,
8/11/2013,Borno,60,Boko Haram,,,,,,,
8/15/2013,Borno,14,Boko Haram,,,,,,,
8/17/2013,Borno,,Boko Haram,,,,,,,
8/20/2013,Borno,44,Boko Haram,,,,,,,
8/21/2013,Borno,9,Boko Haram,,,,,,,
8/21/2013,Borno,4,Boko Haram,,,,,,,
8/26/2013,Borno,6,Boko Haram,,,,,,,
8/26/2013,Borno,18,Boko Haram,,,,,,,
8/27/2013,Borno,25,Boko Haram,,,,,,,
8/30/2013,Borno,58,Boko Haram,,,,,,,
8/31/2013,Borno,14,Boko Haram,,,,,,,
9/1/2013,Borno,40,Boko Haram,,,,,,,
9/4/2013,Borno,15,Boko Haram,,,,,,,
9/5/2013,Borno,9,Boko Haram,,,,,,,
9/8/2013,Borno,18,Boko Haram,,,,,,,
9/8/2013,Borno,40,Boko Haram,,,,,,,
9/11/2013,Borno,40,Boko Haram,,,,,,,
9/15/2013,Borno,166,Boko Haram,,,,,,,
9/15/2013,Borno,40,Boko Haram,,,,,,,
9/16/2013,Borno,161,Boko Haram,,,,,,,
9/19/2013,Borno,20,Boko Haram,,,,,,,
9/22/2013,Borno,40,Boko Haram,,,,,,,
9/25/2013,Borno,27,Boko Haram,,,,,,,
9/28/2013,Borno,7,Boko Haram,,,,,,,
9/30/2013,Borno,10,Boko Haram,,,,,,,
10/3/2013,Borno,1,Boko Haram,,,,,,,
10/5/2013,Borno,22,Boko Haram,,,,,,,
10/8/2013,Borno,2,Boko Haram,,,,,,,
